Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,s_point,e_point,in_ny,dist
0,2009-06-15 17:26:21.0000001,4.5,2009-06-15 17:26:21 UTC,-73.844311,40.721319,-73.84161,40.712278,1,POINT (-73.844311 40.721319),POINT (-73.84161 40.712278),True,0.009435840291149038
1,2010-01-05 16:52:16.0000002,16.9,2010-01-05 16:52:16 UTC,-74.016048,40.711303,-73.979268,40.782004,1,POINT (-74.016048 40.711303),POINT (-73.979268 40.782004),True,0.07969566990119005
2,2011-08-18 00:35:00.00000049,5.7,2011-08-18 00:35:00 UTC,-73.982738,40.76127,-73.991242,40.750562,2,POINT (-73.982738 40.76127),POINT (-73.991242 40.750562),True,0.013674036711961017
3,2012-04-21 04:30:42.0000001,7.7,2012-04-21 04:30:42 UTC,-73.98713,40.733143,-73.991567,40.758092,1,POINT (-73.98713 40.733143),POINT (-73.991567 40.758092),True,0.025340472963227445
4,2010-03-09 07:51:00.000000135,5.3,2010-03-09 07:51:00 UTC,-73.968095,40.768008,-73.956655,40.783762,1,POINT (-73.968095 40.768008),POINT (-73.956655 40.783762),True,0.019469517610875897
5,2011-01-06 09:50:45.0000002,12.1,2011-01-06 09:50:45 UTC,-74.000964,40.73163,-73.972892,40.758233,1,POINT (-74.000964 40.73163),POINT (-73.972892 40.758233),True,0.038675015100183154
6,2012-11-20 20:35:00.0000001,7.5,2012-11-20 20:35:00 UTC,-73.980002,40.751662,-73.973802,40.764842,1,POINT (-73.980002 40.751662),POINT (-73.973802 40.764842),True,0.014565452275843245
7,2012-01-04 17:22:00.00000081,16.5,2012-01-04 17:22:00 UTC,-73.9513,40.774138,-73.990095,40.751048,1,POINT (-73.9513 40.774138),POINT (-73.990095 40.751048),True,0.04514642981454494
8,2012-12-03 13:10:00.000000125,9.0,2012-12-03 13:10:00 UTC,-74.006462,40.726713,-73.993078,40.731628,1,POINT (-74.006462 40.726713),POINT (-73.993078 40.731628),True,0.014257933966746182
9,2009-09-02 01:11:00.00000083,8.9,2009-09-02 01:11:00 UTC,-73.980658,40.733873,-73.99154,40.758138,2,POINT (-73.980658 40.733873),POINT (-73.99154 40.758138),True,0.02659338543698194
10,2012-04-08 07:30:50.0000002,5.3,2012-04-08 07:30:50 UTC,-73.996335,40.737142,-73.980721,40.733559,1,POINT (-73.996335 40.737142),POINT (-73.980721 40.733559),True,0.016019827870485143
12,2009-11-06 01:04:03.0000002,4.1,2009-11-06 01:04:03 UTC,-73.991601,40.744712,-73.983081,40.744682,2,POINT (-73.991601 40.744712),POINT (-73.983081 40.744682),True,0.00852005281674201
13,2013-07-02 19:54:00.000000232,7.0,2013-07-02 19:54:00 UTC,-74.00536,40.728867,-74.008913,40.710907,1,POINT (-74.00536 40.728867),POINT (-74.008913 40.710907),True,0.018308069505006682
14,2011-04-05 17:11:05.0000001,7.7,2011-04-05 17:11:05 UTC,-74.001821,40.737547,-73.99806,40.722788,2,POINT (-74.001821 40.737547),POINT (-73.99806 40.722788),True,0.015230666498877393
16,2014-02-19 07:22:00.00000074,12.5,2014-02-19 07:22:00 UTC,-73.98643,40.760465,-73.98899,40.737075,1,POINT (-73.98643 40.760465),POINT (-73.98899 40.737075),True,0.023529677005864422
17,2009-07-22 16:08:00.000000163,5.3,2009-07-22 16:08:00 UTC,-73.98106,40.73769,-73.994177,40.728412,1,POINT (-73.98106 40.73769),POINT (-73.994177 40.728412),True,0.01606664162169179
18,2010-07-07 14:52:00.00000044,5.3,2010-07-07 14:52:00 UTC,-73.969505,40.784843,-73.958732,40.783357,1,POINT (-73.969505 40.784843),POINT (-73.958732 40.783357),True,0.010875004597700523
19,2014-12-06 20:36:22.0000008,4.0,2014-12-06 20:36:22 UTC,-73.979815,40.751902,-73.979446,40.755481,1,POINT (-73.979815 40.751902),POINT (-73.979446 40.755481),True,0.0035979719287424867
20,2010-09-07 13:18:00.000000175,10.5,2010-09-07 13:18:00 UTC,-73.985382,40.747858,-73.978377,40.76207,1,POINT (-73.985382 40.747858),POINT (-73.978377 40.76207),True,0.01584458800348271
21,2013-02-12 12:15:46.0000002,11.5,2013-02-12 12:15:46 UTC,-73.957954,40.779252,-73.96125,40.758787,1,POINT (-73.957954 40.779252),POINT (-73.96125 40.758787),True,0.02072872019686939
22,2009-08-06 18:17:23.0000001,4.5,2009-08-06 18:17:23 UTC,-73.991707,40.770505,-73.985459,40.763671,1,POINT (-73.991707 40.770505),POINT (-73.985459 40.763671),True,0.009259646861514849
23,2010-12-06 12:29:00.000000199,4.9,2010-12-06 12:29:00 UTC,-74.000632,40.747473,-73.986672,40.740577,1,POINT (-74.000632 40.747473),POINT (-73.986672 40.740577),True,0.015570369809349146
24,2009-12-10 15:37:00.00000020,6.1,2009-12-10 15:37:00 UTC,-73.969622,40.756973,-73.981152,40.759712,1,POINT (-73.969622 40.756973),POINT (-73.981152 40.759712),True,0.011850865833340525
25,2011-06-21 16:15:00.00000073,7.3,2011-06-21 16:15:00 UTC,-73.991875,40.754437,-73.97723,40.774323,3,POINT (-73.991875 40.754437),POINT (-73.97723 40.774323),True,0.02469674110079334
27,2011-06-28 19:47:00.000000168,4.5,2011-06-28 19:47:00 UTC,-73.988893,40.76016,-73.986445,40.757857,3,POINT (-73.988893 40.76016),POINT (-73.986445 40.757857),True,0.0033610285628055854
28,2012-05-04 06:11:20.0000002,9.3,2012-05-04 06:11:20 UTC,-73.989258,40.690835,-74.004133,40.72569,1,POINT (-73.989258 40.690835),POINT (-74.004133 40.72569),True,0.03789639362788632
29,2013-08-11 00:52:00.00000026,4.5,2013-08-11 00:52:00 UTC,-73.98102,40.73776,-73.980668,40.730497,2,POINT (-73.98102 40.73776),POINT (-73.980668 40.730497),True,0.0072715248057082715
30,2014-02-19 16:03:00.000000160,5.5,2014-02-19 16:03:00 UTC,-73.976075,40.752422,-73.981082,40.759285,1,POINT (-73.976075 40.752422),POINT (-73.981082 40.759285),True,0.008495340958431392
31,2015-06-21 21:46:34.0000001,22.54,2015-06-21 21:46:34 UTC,-74.01048278808595,40.71766662597656,-73.98577117919923,40.66036605834961,1,POINT (-74.01048278808595 40.71766662597656),POINT (-73.98577117919923 40.66036605834961),True,0.062402072594916154
32,2009-01-09 16:10:00.000000170,31.9,2009-01-09 16:10:00 UTC,-73.873027,40.773883,-73.984545,40.769545,3,POINT (-73.873027 40.773883),POINT (-73.984545 40.769545),True,0.11160234122992589
33,2011-09-07 14:05:00.000000194,5.7,2011-09-07 14:05:00 UTC,-73.976162,40.744988,-73.990002,40.738323,2,POINT (-73.976162 40.744988),POINT (-73.990002 40.738323),True,0.015361244252990267
34,2011-09-07 23:05:44.0000001,18.1,2011-09-07 23:05:44 UTC,-73.993717,40.740785,-73.999272,40.676617,1,POINT (-73.993717 40.740785),POINT (-73.999272 40.676617),True,0.06440799833095497
35,2015-01-11 03:15:38.0000001,58.0,2015-01-11 03:15:38 UTC,-73.98332977294923,40.73871994018555,-73.93319702148438,40.84722518920898,1,POINT (-73.98332977294923 40.73871994018555),POINT (-73.93319702148438 40.84722518920898),True,0.1195269084142724
